qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU721:24grass,Sample10_ITS4,90.960,177,10,5,1,174,482,309,1.77e-64,233
OTU735:28grass,Sample7_ITS4,87.500,128,14,2,39,165,458,332,2.24e-38,147
OTU745:104grass,Sample13_ITS4,93.956,182,9,2,1,182,492,313,1.09e-76,274
OTU772:17grass,Sample13_ITS4,84.783,184,22,6,1,182,492,313,2.44e-48,180
OTU781:87grass,Sample16_ITS4,91.935,62,3,2,1,60,502,441,5.27e-20,86.1
OTU790:30grass,Sample24_ITS4,91.852,135,8,3,105,237,462,329,6.96e-50,185
OTU790:30grass,Sample24_ITS4,94.286,70,4,0,1,70,537,468,1.55e-26,108
OTU793:78grass,Sample19_ITS4,79.781,183,23,9,2,179,512,339,1.47e-30,121
OTU821:6grass,Sample10_ITS4,90.395,177,11,6,1,174,482,309,8.23e-63,228
OTU831:161grass,Sample1_ITS4,99.206,126,1,0,19,144,416,291,6.69e-63,228
OTU845:161grass,Sample8_ITS4,93.706,143,7,2,1,141,451,309,1.83e-58,213
OTU862:96grass,Sample1_ITS4,87.023,131,11,6,19,147,419,293,2.59e-37,143
OTU863:132grass,Sample4_ITS4,95.135,185,4,3,1,185,485,306,1.42e-80,287
OTU889:148grass,Sample13_ITS4,82.081,173,14,10,22,192,472,315,7.41e-34,132
OTU897:41grass,Sample16_ITS4,95.745,47,2,0,12,58,489,443,3.23e-17,76.8
OTU903:150grass,Sample8_ITS4,93.103,145,6,3,1,143,451,309,2.40e-57,209
OTU932:26grass,Sample2_ITS4,93.651,63,2,2,3,63,461,399,3.22e-22,93.5
OTU948:16grass,Sample13_ITS4,86.339,183,21,4,1,182,492,313,2.42e-53,196
OTU951:48grass,Sample8_ITS4,91.724,145,9,2,1,144,451,309,5.24e-54,198
OTU980:22grass,Sample6_ITS4,81.538,195,17,14,1,190,535,355,3.39e-37,143
OTU990:16grass,Sample10_ITS4,81.818,187,17,11,1,183,482,309,1.16e-36,141
OTU998:55grass,Sample7_ITS4,97.826,184,4,0,10,193,515,332,5.27e-90,318
OTU1001:9grass,Sample11_ITS4,77.119,118,21,5,32,148,513,401,3.34e-13,63.9
OTU1013:80grass,Sample10_ITS4,89.326,178,13,4,1,176,482,309,5.01e-60,219
OTU1020:66grass,Sample8_ITS4,93.007,143,8,2,1,141,451,309,8.51e-57,207
OTU1031:61grass,Sample13_ITS4,84.762,105,11,3,30,131,518,416,2.69e-24,100
OTU1039:56grass,Sample1_ITS4,93.836,146,7,2,1,146,434,291,4.09e-60,219
OTU1043:161grass,Sample8_ITS4,100.000,125,0,0,19,143,433,309,5.13e-64,231
OTU1052:144grass,Sample13_ITS4,82.081,173,14,11,22,192,472,315,7.41e-34,132
OTU1088:28grass,Sample13_ITS4,83.696,184,24,6,1,182,492,313,5.27e-45,169
OTU1089:129grass,Sample20_ITS4,84.946,93,13,1,1,93,605,514,4.36e-22,93.5
OTU1109:41grass,Sample10_ITS4,90.857,175,13,3,1,173,482,309,6.32e-64,231
OTU1115:161grass,Sample2_ITS4,100.000,143,0,0,1,143,463,321,5.06e-74,265
OTU1125:45grass,Sample8_ITS4,96.503,143,4,1,1,142,451,309,3.93e-65,235
OTU1143:153grass,Sample18_ITS4,96.739,368,4,3,1,367,761,401,1.99e-176,606
OTU1183:43grass,Sample6_ITS4,100.000,32,0,0,27,58,561,530,4.26e-12,60.2
OTU1187:19grass,Sample16_ITS4,90.196,51,3,2,8,57,492,443,6.06e-14,65.8
OTU1234:134grass,Sample19_ITS4,90.385,52,3,2,1,50,513,462,1.63e-14,67.6
OTU1257:44grass,Sample11_ITS4,96.552,174,5,1,1,173,487,314,1.33e-80,287
OTU1281:161grass,Sample1_ITS4,95.238,126,6,0,19,144,416,291,1.46e-54,200
OTU1290:32grass,Sample7_ITS4,90.152,132,12,1,34,164,463,332,1.32e-45,171
OTU1300:162grass,Sample12_ITS4,91.011,178,6,8,3,172,499,324,6.28e-64,231
OTU1328:26grass,Sample16_ITS4,93.333,60,3,1,2,61,501,443,1.73e-20,87.9
OTU1399:29grass,Sample9_ITS4,100.000,31,0,0,27,57,530,500,1.46e-11,58.4
OTU1402:91grass,Sample11_ITS4,88.506,174,16,4,3,174,485,314,1.07e-56,207
OTU1449:108grass,Sample20_ITS4,84.783,92,10,4,1,89,605,515,4.83e-21,89.8
OTU1493:48grass,Sample9_ITS4,97.222,36,1,0,166,201,535,500,1.97e-12,62.1
OTU1558:161grass,Sample8_ITS4,97.143,140,4,0,4,143,448,309,1.10e-65,237
OTU1585:24grass,Sample18_ITS4,100.000,31,0,0,40,70,787,757,1.48e-11,58.4
OTU1600:26grass,Sample1_ITS4,96.552,145,2,2,1,145,434,293,1.14e-65,237
OTU1612:151grass,Sample13_ITS4,78.723,188,29,7,1,187,492,315,7.26e-29,115
OTU1653:161grass,Sample12_ITS4,97.159,176,2,2,3,175,499,324,8.05e-83,294
OTU1660:85grass,Sample2_ITS4,85.294,136,13,7,11,143,452,321,1.49e-34,134
OTU1692:48grass,Sample7_ITS4,100.000,128,0,0,40,167,459,332,1.31e-65,237
OTU1711:26grass,Sample1_ITS4,81.507,146,10,6,3,135,432,291,1.09e-25,104
OTU1723:56grass,Sample7_ITS4,95.531,179,7,1,1,179,524,347,5.32e-80,285
OTU1729:36grass,Sample7_ITS4,96.373,193,7,0,1,193,524,332,5.27e-90,318
OTU1818:26grass,Sample2_ITS4,88.608,79,4,4,3,78,461,385,1.06e-21,91.6
OTU1843:146grass,Sample8_ITS4,96.503,143,4,1,1,142,451,309,3.93e-65,235
OTU1848:109grass,Sample11_ITS4,100.000,84,0,0,1,84,487,404,3.15e-41,156
OTU1848:109grass,Sample11_ITS4,100.000,64,0,0,79,142,377,314,4.13e-30,119
OTU1915:53grass,Sample7_ITS4,100.000,178,0,0,1,178,524,347,2.41e-93,329
OTU1929:15grass,Sample11_ITS4,78.992,119,19,5,35,152,513,400,4.37e-17,76.8
OTU1959:41grass,Sample13_ITS4,87.831,189,10,10,1,185,492,313,3.16e-57,209
OTU1982:30grass,Sample19_ITS4,81.065,169,21,6,12,175,501,339,1.12e-31,124
OTU1984:60grass,Sample7_ITS4,90.152,132,8,4,40,170,459,332,1.77e-44,167
OTU2025:70grass,Sample14_ITS4,96.923,195,5,1,3,196,564,370,3.20e-92,326
OTU2056:56grass,Sample7_ITS4,92.105,114,7,2,40,152,459,347,2.87e-42,159
OTU2062:38grass,Sample10_ITS4,91.379,174,13,2,1,172,482,309,1.35e-65,237
OTU2063:152grass,Sample7_ITS4,95.337,193,9,0,1,193,524,332,1.14e-86,307
OTU2073:66grass,Sample13_ITS4,82.424,165,14,10,36,188,474,313,2.58e-33,130
OTU2127:33grass,Sample15_ITS4,94.694,245,9,3,1,245,553,313,1.11e-107,377
OTU2137:41grass,Sample13_ITS4,81.319,182,24,9,1,176,492,315,4.07e-36,139
OTU2140:75grass,Sample8_ITS4,95.804,143,5,1,1,142,451,309,1.83e-63,230
OTU2169:28grass,Sample7_ITS4,87.402,127,15,1,39,164,458,332,7.99e-38,145
OTU2193:48grass,Sample11_ITS4,86.782,174,17,6,3,172,485,314,3.83e-51,189
OTU2200:48grass,Sample13_ITS4,80.000,185,29,7,1,182,492,313,2.49e-33,130
OTU2243:63grass,Sample1_ITS4,90.541,148,12,2,1,146,434,287,6.94e-53,195
OTU2259:61grass,Sample13_ITS4,88.690,168,8,10,21,186,471,313,8.91e-53,195
OTU2295:155grass,Sample9_ITS4,100.000,33,0,0,38,70,530,498,1.02e-12,62.1
OTU2300:6grass,Sample23_ITS4,92.788,208,15,0,1,208,528,321,5.76e-85,302
OTU2304:48grass,Sample1_ITS4,93.750,144,7,2,3,146,432,291,5.29e-59,215
OTU2344:137grass,Sample4_ITS4,95.580,181,5,3,1,179,485,306,1.37e-80,287
OTU2350:37grass,Sample7_ITS4,94.819,193,10,0,1,193,524,332,5.31e-85,302
OTU2352:133grass,Sample20_ITS4,86.170,94,10,3,1,93,605,514,9.33e-24,99.0
OTU2359:141grass,Sample7_ITS4,90.769,130,9,3,40,168,459,332,1.35e-45,171
OTU2373:55grass,Sample20_ITS4,86.420,81,7,3,2,79,604,525,7.29e-20,86.1
OTU2376:145grass,Sample16_ITS4,96.667,180,6,0,1,180,502,323,1.77e-84,300
OTU2387:97grass,Sample10_ITS4,84.181,177,20,6,1,172,482,309,6.46e-44,165
OTU2410:97grass,Sample10_ITS4,94.767,172,8,1,3,173,480,309,1.73e-74,267
OTU2439:116grass,Sample7_ITS4,96.373,193,7,0,1,193,524,332,5.27e-90,318
OTU2449:33grass,Sample8_ITS4,94.366,142,7,1,3,144,449,309,1.45e-59,217
OTU2462:60grass,Sample1_ITS4,96.528,144,3,2,3,146,432,291,1.13e-65,237
OTU2485:162grass,Sample12_ITS4,99.390,164,1,0,1,164,501,338,6.33e-84,298
OTU2490:162grass,Sample11_ITS4,97.143,175,2,2,3,177,485,314,2.93e-82,292
OTU2507:42grass,Sample13_ITS4,80.663,181,28,7,1,177,492,315,1.89e-34,134
OTU2539:62grass,Sample7_ITS4,96.429,196,3,3,1,195,524,332,1.48e-90,320
OTU2563:122grass,Sample2_ITS4,100.000,28,0,0,34,61,486,459,6.83e-10,52.8
OTU2578:60grass,Sample20_ITS4,88.406,69,7,1,27,95,581,514,7.06e-19,82.4
OTU2583:256grass,Sample8_ITS4,100.000,118,0,0,19,136,426,309,3.78e-60,219
OTU2584:50grass,Sample7_ITS4,83.077,195,29,4,1,193,524,332,1.21e-46,174
OTU2622:52grass,Sample16_ITS4,100.000,50,0,0,8,57,492,443,3.99e-22,93.5
OTU2632:144grass,Sample8_ITS4,93.651,126,6,2,25,148,434,309,1.17e-50,187
OTU2643:143grass,Sample15_ITS4,85.714,245,22,10,1,237,553,314,3.18e-68,246
OTU2683:31grass,Sample16_ITS4,91.667,48,3,1,8,55,492,446,7.00e-14,65.8
OTU2692:60grass,Sample11_ITS4,88.571,175,15,5,3,175,485,314,1.08e-56,207
OTU2706:62grass,Sample7_ITS4,92.105,114,7,2,40,152,459,347,2.87e-42,159
OTU2711:25grass,Sample7_ITS4,95.855,193,8,0,1,193,524,332,2.45e-88,313
OTU2729:19grass,Sample13_ITS4,80.319,188,25,8,1,186,492,315,7.16e-34,132
OTU2757:141grass,Sample13_ITS4,90.055,181,13,5,1,177,492,313,2.33e-63,230
OTU2787:64grass,Sample9_ITS4,97.561,41,1,0,148,188,535,495,3.05e-15,71.3
OTU2819:109grass,Sample12_ITS4,82.530,166,17,6,1,159,501,341,5.28e-35,135
OTU2838:257grass,Sample11_ITS4,99.371,159,1,0,1,159,487,329,3.70e-81,289
OTU2848:97grass,Sample8_ITS4,90.210,143,11,2,3,144,449,309,1.47e-49,183
OTU2882:161grass,Sample8_ITS4,100.000,126,0,0,21,146,434,309,1.46e-64,233
OTU2916:257grass,Sample1_ITS4,98.438,128,2,0,17,144,418,291,2.40e-62,226
OTU2926:141grass,Sample7_ITS4,91.589,107,8,1,52,158,452,347,2.33e-38,147
OTU2932:54grass,Sample12_ITS4,80.412,97,11,6,32,123,524,431,2.55e-14,67.6
OTU2947:133grass,Sample11_ITS4,87.861,173,18,3,3,173,485,314,1.78e-54,200
OTU2952:162grass,Sample1_ITS4,98.462,130,2,0,18,147,420,291,1.90e-63,230
OTU2953:63grass,Sample8_ITS4,92.958,71,5,0,1,71,451,381,1.20e-25,104
OTU2975:50grass,Sample8_ITS4,94.406,143,7,1,1,142,451,309,3.96e-60,219
OTU2983:97grass,Sample2_ITS4,97.619,42,1,0,159,200,496,455,8.20e-16,73.1
OTU2985:141grass,Sample7_ITS4,96.891,193,4,2,1,191,524,332,4.03e-91,322
OTU3002:59grass,Sample7_ITS4,92.481,133,9,1,37,168,464,332,3.74e-51,189
OTU3007:60grass,Sample4_ITS4,89.444,180,13,6,2,176,484,306,3.88e-61,222
OTU3033:26grass,Sample1_ITS4,92.517,147,5,5,1,146,434,293,3.23e-56,206
OTU3040:113grass,Sample13_ITS4,80.311,193,24,14,186,365,523,332,4.19e-34,134
OTU3054:161grass,Sample8_ITS4,93.836,146,6,3,1,146,451,309,1.47e-59,217
OTU3080:54grass,Sample7_ITS4,93.805,113,7,0,36,148,459,347,1.29e-45,171
OTU3093:161grass,Sample8_ITS4,100.000,122,0,0,22,143,430,309,2.39e-62,226
OTU3108:48grass,Sample1_ITS4,80.137,146,13,10,1,134,434,293,6.64e-23,95.3
OTU3111:46grass,Sample16_ITS4,93.333,60,3,1,2,61,501,443,1.09e-20,87.9
OTU3233:161grass,Sample9_ITS4,99.375,160,1,0,17,176,488,329,1.05e-81,291
OTU3237:29grass,Sample19_ITS4,90.395,177,14,3,1,176,513,339,2.32e-63,230
OTU3242:64grass,Sample5_ITS4,100.000,29,0,0,25,53,589,561,2.02e-10,54.7
OTU3270:115grass,Sample13_ITS4,82.022,178,22,9,1,173,492,320,3.14e-37,143
OTU3280:256grass,Sample8_ITS4,94.406,143,6,2,1,141,451,309,3.93e-60,219
OTU3292:257grass,Sample9_ITS4,100.000,155,0,0,22,176,483,329,1.36e-80,287
OTU3339:111grass,Sample7_ITS4,95.337,193,9,0,1,193,524,332,1.14e-86,307
OTU3358:60grass,Sample1_ITS4,84.247,146,7,10,1,134,434,293,6.55e-33,128
OTU3359:63grass,Sample5_ITS4,94.595,37,0,1,17,53,595,561,5.59e-11,56.5
OTU3365:161grass,Sample1_ITS4,95.833,144,6,0,1,144,434,291,1.44e-64,233
OTU3416:149grass,Sample13_ITS4,84.615,182,20,7,1,178,492,315,1.12e-46,174
OTU3423:161grass,Sample8_ITS4,96.503,143,4,1,1,142,451,309,3.93e-65,235
OTU3424:162grass,Sample24_ITS4,96.907,194,2,2,27,220,518,329,4.69e-91,322
OTU3436:256grass,Sample8_ITS4,95.200,125,6,0,19,143,433,309,5.20e-54,198
OTU3471:58grass,Sample20_ITS4,88.750,80,7,1,2,79,604,525,3.37e-23,97.1
OTU3522:141grass,Sample7_ITS4,90.435,115,8,3,40,153,459,347,6.26e-39,148
OTU3527:51grass,Sample8_ITS4,96.503,143,5,0,1,143,451,309,1.10e-65,237
OTU3535:256grass,Sample1_ITS4,97.744,133,2,1,1,133,434,303,6.89e-63,228
OTU3592:257grass,Sample11_ITS4,97.714,175,2,2,1,174,487,314,1.72e-84,300
OTU3603:256grass,Sample1_ITS4,90.278,144,11,3,1,141,434,291,3.99e-50,185
OTU3607:48grass,Sample13_ITS4,84.699,183,23,5,1,181,492,313,8.71e-48,178
OTU3635:256grass,Sample15_ITS4,99.324,148,1,0,46,193,460,313,5.39e-75,268
OTU3638:257grass,Sample24_ITS4,100.000,196,0,0,14,209,524,329,2.62e-103,363
OTU3640:162grass,Sample19_ITS4,99.394,165,0,1,12,175,503,339,6.22e-84,298
OTU3653:135grass,Sample7_ITS4,93.782,193,12,0,1,193,524,332,1.15e-81,291
OTU3666:56grass,Sample7_ITS4,89.313,131,10,4,40,169,459,332,8.20e-43,161
OTU3685:52grass,Sample16_ITS4,90.741,54,4,1,2,55,501,449,1.45e-15,71.3
OTU3688:61grass,Sample5_ITS4,100.000,29,0,0,30,58,589,561,2.15e-10,54.7
OTU3700:61grass,Sample24_ITS4,86.134,238,3,14,1,237,537,329,3.17e-63,230
OTU3715:30grass,Sample7_ITS4,96.891,193,5,1,1,192,524,332,4.05e-91,322
OTU3767:59grass,Sample7_ITS4,93.939,66,2,2,1,65,524,460,4.38e-24,99.0
OTU3778:36grass,Sample7_ITS4,96.891,193,5,1,1,192,524,332,4.05e-91,322
OTU3800:49grass,Sample19_ITS4,83.962,106,12,4,2,104,512,409,2.54e-23,97.1
OTU3801:48grass,Sample12_ITS4,83.168,101,7,7,41,136,526,431,2.71e-19,84.2
OTU3805:60grass,Sample8_ITS4,84.962,133,13,6,1,130,451,323,7.08e-33,128
OTU3806:41grass,Sample20_ITS4,93.478,92,5,1,1,91,605,514,7.43e-35,135
OTU3806:41grass,Sample20_ITS4,90.141,71,5,2,177,247,457,389,1.63e-21,91.6
OTU3812:115grass,Sample7_ITS4,95.855,193,8,0,1,193,524,332,2.45e-88,313
OTU3825:63grass,Sample8_ITS4,94.444,72,4,0,1,72,451,380,6.59e-28,111
OTU3850:78grass,Sample8_ITS4,96.528,144,4,1,1,144,451,309,1.11e-65,237
OTU3881:162grass,Sample9_ITS4,100.000,164,0,0,1,164,504,341,1.36e-85,303
