qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU1265:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,97.110,173,5,0,3,175,1,173,5.08e-79,292
OTU1349:5grass,Fungi_sp|JX351215|SH1646012.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.810,137,1,2,12,148,6,140,7.01e-62,235
OTU1510:9grass,Strobilurus_esculentus|UDB011772|SH1880178.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Strobilurus;s__Strobilurus_esculentus,99.602,251,1,0,1,251,22,272,6.92e-129,459
OTU1597:93grass,Fungi_sp|MF971872|SH1239435.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.163,141,4,0,1,141,1,141,5.11e-63,239
OTU1709:93grass,Fungi_sp|MF971872|SH1239435.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.163,141,4,0,1,141,1,141,5.11e-63,239
OTU1760:9grass,Tremellales_sp|KM216348|SH1574513.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp,96.094,128,3,2,22,147,1,128,1.51e-53,207
OTU1852:89grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.804,143,4,2,1,143,1,141,3.13e-60,230
OTU2002:7grass,Pleosporales_sp|AM262381|SH1573191.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,90.286,175,15,2,1,174,3,176,1.42e-59,228
OTU2023:5grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU2164:93grass,Fungi_sp|MF971872|SH1239435.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.163,141,4,0,1,141,1,141,5.11e-63,239
OTU2294:89grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.804,143,4,2,1,143,1,141,3.13e-60,230
OTU2384:7grass,Periconia_homothallica|AB809645|SH1573195.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_homothallica,92.143,140,9,2,25,163,35,173,3.70e-50,196
OTU2421:89grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.105,143,5,2,1,143,1,141,1.46e-58,224
OTU2422:8grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU2441:91grass,Fungi_sp|JX351215|SH1646012.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.775,142,4,2,1,142,1,140,1.12e-59,228
OTU2523:28grass,Periconia_homothallica|AB809645|SH1573195.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_homothallica,93.130,131,9,0,33,163,43,173,4.79e-49,193
OTU2526:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU2558:89grass,Fungi_sp|JX351215|SH1646012.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.804,143,3,3,1,143,1,140,1.13e-59,228
OTU2797:107grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,96.454,141,5,0,1,141,1,141,2.38e-61,233
OTU2805:88grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,96.454,141,5,0,1,141,1,141,2.38e-61,233
OTU2941:5grass,Amphisphaeria_sp|MH971224|SH2592829.08FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Amphisphaeria;s__Amphisphaeria_sp,85.417,192,20,6,1,185,15,205,5.61e-49,193
OTU3169:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU3247:106grass,Fungi_sp|JX363566|SH1573192.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,89.571,163,17,0,1,163,1,163,1.71e-53,207
OTU3267:16grass,Fungi_sp|MF971606|SH1246935.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.070,142,4,3,1,141,1,140,1.85e-57,220
OTU3285:5grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU3435:6grass,Fungi_sp|JX363566|SH1573192.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,89.571,163,16,1,1,162,1,163,6.11e-53,206
OTU3461:89grass,Fungi_sp|JX351215|SH1646012.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.105,143,3,4,1,142,1,140,5.19e-58,222
OTU3608:9grass,Tremellales_sp|KM216348|SH1574513.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp,96.094,128,5,0,22,149,1,128,4.28e-54,209
OTU3720:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU3826:89grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,95.105,143,5,2,1,143,1,141,1.46e-58,224
OTU3866:96grass,Preussia_minipascua|UDB061175|SH1541791.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_minipascua,97.842,139,3,0,1,139,1,139,1.40e-63,241
OTU3871:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
