"","kingdom","phylum","class","order","family","genus","species"
"OTU19:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Montagnulaceae","g__Paraphaeosphaeria","s__Paraphaeosphaeria_pilleata_SH186980.07FU"
"OTU21:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Selenophoma","s__Selenophoma_mahoniae_SH103325.07FU"
"OTU131:5grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Sporobolomyces","s__Sporobolomyces_ruberrimus_SH194976.07FU"
"OTU3:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU149:25grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__Acremonium_asperulatum_SH204700.07FU"
"OTU30:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Phaeocryptopus",NA
"OTU5:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum_nigrum_SH117088.07FU"
"OTU77:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU59:5grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU3145:81grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_ramotenellum_SH079312.07FU"
"OTU1306:80grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU8:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2755:110grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU6:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_exasperatum_SH422672.07FU"
"OTU610:105grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU1028:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU290:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Rachicladosporium",NA
"OTU240:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU1603:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_ramotenellum_SH079312.07FU"
"OTU818:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae",NA,NA
"OTU960:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"OTU303:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU286:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae",NA,NA
"OTU18:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Spathulosporaceae","g__Spathulospora",NA
"OTU7:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU25:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_chernovii_SH197624.07FU"
"OTU12:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae",NA,NA
"OTU107:5grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycotina_cls_Incertae_sedis","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__Malassezia_restricta_SH176394.07FU"
"OTU37:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Engyodontium","s__Engyodontium_album_SH194042.07FU"
"OTU175:6grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus",NA
"OTU60:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU20:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Xylaria",NA
"OTU47:6grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"OTU26:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pleospora","s__Pleospora_herbarum_SH387143.07FU"
"OTU259:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria",NA
"OTU371:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU126:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU842:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Myrothecium",NA
"OTU10:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU92:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU264:19grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus",NA
"OTU134:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA
"OTU160:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU166:5grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae",NA,NA
"OTU279:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Phyllosticta","s__Phyllosticta_capitalensis_SH198965.07FU"
"OTU75:6grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU276:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae",NA,NA
"OTU2526:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU3439:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU500:6grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU46:7grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU67:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Dioszegia","s__Dioszegia_hungarica_SH182099.07FU"
"OTU182:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU156:13grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU808:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU222:130grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Phoma","s__Phoma_paspali_SH215817.07FU"
"OTU742:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU44:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Annulohypoxylon",NA
"OTU61:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Penidiella",NA
"OTU2851:54grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium",NA
"OTU475:8grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycotina_cls_Incertae_sedis","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__Malassezia_globosa_SH184033.07FU"
"OTU567:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Tremella",NA
"OTU22:6grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU118:8grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU2413:112grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU404:34grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"OTU2422:8grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU3379:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU150:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU103:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU1050:28grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU31:7grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae",NA,NA
"OTU49:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU381:26grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU199:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Neoaleurodiscus","s__Neoaleurodiscus_fujii_SH214054.07FU"
"OTU981:37grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Aspergillus","s__Aspergillus_arenarius_SH218983.07FU"
"OTU2541:6grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU375:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU620:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU312:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU53:8grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis",NA,NA
"OTU3872:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU200:5grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Erysiphe","s__Erysiphe_cruciferarum_SH187443.07FU"
"OTU351:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU297:15grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Phyllosticta","s__Phyllosticta_telopeae_SH091776.07FU"
"OTU211:6grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU2023:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU15:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia_infectoria_SH434793.07FU"
"OTU11:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU17:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"OTU3447:99grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU1128:5grass","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Powellomyces",NA
"OTU291:5grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora",NA
"OTU3285:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU1975:94grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU370:45grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Pestalotiopsis","s__Pestalotiopsis_adusta_SH268539.07FU"
"OTU3169:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU111:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia_infectoria_SH434793.07FU"
"OTU1038:91grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU2012:18grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU2318:55grass","k__Fungi","p__Chytridiomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Gonapodyaceae","g__Monoblepharella",NA
"OTU1462:16grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU1127:93grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU41:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Pestalotiopsis","s__Pestalotiopsis_trachicarpicola_SH388708.07FU"
"OTU173:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae",NA,NA
"OTU2902:5grass","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae",NA,NA
"OTU181:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU35:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Zymoseptoria","s__Zymoseptoria_verkleyi_SH195834.07FU"
"OTU227:6grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU1097:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU192:26grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU380:5grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_spinulosum_SH207148.07FU"
"OTU418:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus",NA
"OTU480:5grass","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae",NA,NA
"OTU2096:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU114:5grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Coprinus","s__Coprinus_vosoustii_SH201295.07FU"
"OTU1437:97grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU2192:24grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium_exasperatum_SH422672.07FU"
"OTU496:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU3871:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU2823:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU144:6grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Periconia",NA
"OTU2391:33grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycotina_cls_Incertae_sedis","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"OTU548:5grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU2959:5grass","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Leucangium",NA
"OTU332:5grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU14:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Neotyphodium","s__Neotyphodium_tembladerae_SH193541.07FU"
"OTU2816:28grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU2774:96grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU2188:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU2053:5grass","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Heliocephala",NA
"OTU216:21grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU33:5grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_albidus_var._ovalis_SH405380.07FU"
"OTU64:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU66:6grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU3263:67grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU174:5grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales",NA,NA,NA
"OTU595:89grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricomycetes_ord_Incertae_sedis","f__Agaricomycetes_fam_Incertae_sedis","g__Resinicium","s__Resinicium_bicolor_SH204931.07FU"
"OTU1240:70grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Junghuhnia",NA
"OTU63:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU38:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU3403:53grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU81:17grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinales_Group_B",NA,NA
"OTU445:7grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalotheca",NA
"OTU485:64grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__Acremonium_pilosum_SH203377.07FU"
"OTU2767:91grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU2432:53grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU305:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Periconia",NA
"OTU3282:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU2941:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Pestalotiopsis","s__Pestalotiopsis_furcata_SH268581.07FU"
"OTU2753:19grass","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Arthrodermataceae","g__Microsporum","s__Microsporum_fulvum_SH189818.07FU"
"OTU161:5grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Clypeosphaeriaceae","g__Clypeosphaeria",NA
"OTU2256:105grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Epicoccum","s__Epicoccum_nigrum_SH117088.07FU"
"OTU2758:159grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU2252:28grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU1248:80grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU1510:9grass","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae","g__Strobilurus","s__Strobilurus_esculentus_SH239820.07FU"
"OTU2377:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU3289:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU28:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Periconia",NA
"OTU159:5grass","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Glarea","s__Glarea_lozoyensis_SH198390.07FU"
"OTU1153:94grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU1468:13grass","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Glomerellaceae","g__Glomerella",NA
"OTU2107:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Acidomyces",NA
"OTU230:18grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU3304:26grass","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_victoriae_SH181628.07FU"
"OTU3389:113grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU40:13grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Strigulaceae","g__Strigula","s__Strigula_smaragdula_SH211054.07FU"
"OTU482:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU472:5grass","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_fam_Incertae_sedis","g__Sporobolomyces","s__Sporobolomyces_lactosus_SH215933.07FU"
"OTU1715:5grass","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Davidiella","s__Davidiella_tassiana_SH216250.07FU"
"OTU439:21grass","k__Fungi","p__Basidiomycota","c__Ustilaginomycotina_cls_Incertae_sedis","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
